period_start,regionid,fuel,perc
2026-07-17T01:00:00Z,17,gas,95.7
2026-07-17T01:00:00Z,17,hydro,0
2026-07-17T01:00:00Z,17,imports,0
2026-07-17T01:00:00Z,17,nuclear,0.8
2026-07-17T01:00:00Z,17,other,0
2026-07-17T01:00:00Z,17,solar,0
2026-07-17T01:00:00Z,17,wind,3.5
2026-07-17T01:00:00Z,18,biomass,10.2
2026-07-17T01:00:00Z,18,coal,0
2026-07-17T01:00:00Z,18,gas,54.4
2026-07-17T01:00:00Z,18,hydro,0.9
2026-07-17T01:00:00Z,18,imports,8
2026-07-17T01:00:00Z,18,nuclear,13.4
2026-07-17T01:00:00Z,18,other,0.8
2026-07-17T01:00:00Z,18,solar,0
2026-07-17T01:00:00Z,18,wind,12.3
2026-07-17T01:30:00Z,1,biomass,0
2026-07-17T01:30:00Z,1,coal,0
2026-07-17T01:30:00Z,1,gas,0
2026-07-17T01:30:00Z,1,hydro,0
2026-07-17T01:30:00Z,1,imports,0
2026-07-17T01:30:00Z,1,nuclear,0
2026-07-17T01:30:00Z,1,other,0
2026-07-17T01:30:00Z,1,solar,0
2026-07-17T01:30:00Z,1,wind,100
2026-07-17T01:30:00Z,2,biomass,2.9
2026-07-17T01:30:00Z,2,coal,0
2026-07-17T01:30:00Z,2,gas,0
2026-07-17T01:30:00Z,2,hydro,0
2026-07-17T01:30:00Z,2,imports,0
2026-07-17T01:30:00Z,2,nuclear,54.7
2026-07-17T01:30:00Z,2,other,0
2026-07-17T01:30:00Z,2,solar,0
2026-07-17T01:30:00Z,2,wind,42.4
2026-07-17T01:30:00Z,3,biomass,5.8
2026-07-17T01:30:00Z,3,coal,0
2026-07-17T01:30:00Z,3,gas,19.9
2026-07-17T01:30:00Z,3,hydro,0
2026-07-17T01:30:00Z,3,imports,11.3
2026-07-17T01:30:00Z,3,nuclear,46.1
2026-07-17T01:30:00Z,3,other,0
2026-07-17T01:30:00Z,3,solar,0
2026-07-17T01:30:00Z,3,wind,16.9
2026-07-17T01:30:00Z,4,biomass,19.3
2026-07-17T01:30:00Z,4,coal,0
2026-07-17T01:30:00Z,4,gas,0
2026-07-17T01:30:00Z,4,hydro,0
2026-07-17T01:30:00Z,4,imports,43.5
2026-07-17T01:30:00Z,4,nuclear,25.3
2026-07-17T01:30:00Z,4,other,0
2026-07-17T01:30:00Z,4,solar,0
2026-07-17T01:30:00Z,4,wind,11.9
2026-07-17T01:30:00Z,5,biomass,41.6
2026-07-17T01:30:00Z,5,coal,0
2026-07-17T01:30:00Z,5,gas,25
2026-07-17T01:30:00Z,5,hydro,0
2026-07-17T01:30:00Z,5,imports,10.7
2026-07-17T01:30:00Z,5,nuclear,7.5
2026-07-17T01:30:00Z,5,other,0
2026-07-17T01:30:00Z,5,solar,0
2026-07-17T01:30:00Z,5,wind,15.2
2026-07-17T01:30:00Z,6,biomass,3.5
2026-07-17T01:30:00Z,6,coal,0
2026-07-17T01:30:00Z,6,gas,25.1
2026-07-17T01:30:00Z,6,hydro,0
2026-07-17T01:30:00Z,6,imports,4.6
2026-07-17T01:30:00Z,6,nuclear,41.8
2026-07-17T01:30:00Z,6,other,0
2026-07-17T01:30:00Z,6,solar,0
2026-07-17T01:30:00Z,6,wind,25
2026-07-17T01:30:00Z,7,biomass,0
2026-07-17T01:30:00Z,7,coal,0
2026-07-17T01:30:00Z,7,gas,98.3
2026-07-17T01:30:00Z,7,hydro,0
2026-07-17T01:30:00Z,7,imports,0
2026-07-17T01:30:00Z,7,nuclear,0
2026-07-17T01:30:00Z,7,other,0
2026-07-17T01:30:00Z,7,solar,0
2026-07-17T01:30:00Z,7,wind,1.7
2026-07-17T01:30:00Z,8,biomass,4
2026-07-17T01:30:00Z,8,coal,0
2026-07-17T01:30:00Z,8,gas,50.6
2026-07-17T01:30:00Z,8,hydro,0
2026-07-17T01:30:00Z,8,imports,5.3
2026-07-17T01:30:00Z,8,nuclear,26.6
2026-07-17T01:30:00Z,8,other,0
2026-07-17T01:30:00Z,8,solar,0
2026-07-17T01:30:00Z,8,wind,13.5
2026-07-17T01:30:00Z,9,biomass,20.5
2026-07-17T01:30:00Z,9,coal,0
2026-07-17T01:30:00Z,9,gas,61.2
2026-07-17T01:30:00Z,9,hydro,0
2026-07-17T01:30:00Z,9,imports,5.3
2026-07-17T01:30:00Z,9,nuclear,3.8
2026-07-17T01:30:00Z,9,other,0
2026-07-17T01:30:00Z,9,solar,0
2026-07-17T01:30:00Z,9,wind,9.3
2026-07-17T01:30:00Z,10,biomass,12.8
2026-07-17T01:30:00Z,10,coal,0
2026-07-17T01:30:00Z,10,gas,63.5
2026-07-17T01:30:00Z,10,hydro,0
2026-07-17T01:30:00Z,10,imports,3.3
2026-07-17T01:30:00Z,10,nuclear,2.4
2026-07-17T01:30:00Z,10,other,0
2026-07-17T01:30:00Z,10,solar,0
2026-07-17T01:30:00Z,10,wind,18.1
2026-07-17T01:30:00Z,11,biomass,0
2026-07-17T01:30:00Z,11,coal,0
2026-07-17T01:30:00Z,11,gas,99
2026-07-17T01:30:00Z,11,hydro,0
2026-07-17T01:30:00Z,11,imports,0
2026-07-17T01:30:00Z,11,nuclear,0
2026-07-17T01:30:00Z,11,other,0
2026-07-17T01:30:00Z,11,solar,0
2026-07-17T01:30:00Z,11,wind,1
2026-07-17T01:30:00Z,12,biomass,9
2026-07-17T01:30:00Z,12,coal,0
2026-07-17T01:30:00Z,12,gas,68.1
2026-07-17T01:30:00Z,12,hydro,0
2026-07-17T01:30:00Z,12,imports,4.2
2026-07-17T01:30:00Z,12,nuclear,10.4
2026-07-17T01:30:00Z,12,other,0
2026-07-17T01:30:00Z,12,solar,0
2026-07-17T01:30:00Z,12,wind,8.3
2026-07-17T01:30:00Z,13,biomass,6.8
2026-07-17T01:30:00Z,13,coal,0
2026-07-17T01:30:00Z,13,gas,69.7
2026-07-17T01:30:00Z,13,hydro,0.2
2026-07-17T01:30:00Z,13,imports,10.2
2026-07-17T01:30:00Z,13,nuclear,3.3
2026-07-17T01:30:00Z,13,other,0
